key,value,language,iso_lang
Enter Email...,အီးမေးလ်ရိုက်ပါ ..., Burmese,bur
Password,စကားဝှက်, Burmese,bur
Enter password,စကားဝှက်ထည့်ပါ, Burmese,bur
LOGIN,ဝင်ရန်, Burmese,bur
FORGOT PASSWORD?,စကားဝှက်မေ့သည့်စာကြောင့်သို့မဟုတ်မေ့သည့်အတတ်ပုံစံအတိုင်းရှိပါသလား။, Burmese,bur
SIGNUP,အကောင့်ဖွင့်ရန်, Burmese,bur
Full Name,နာမည်အပြည့်အစုံ, Burmese,bur
Enter full name,နာမည်အပြည့်အစုံထည့်ပါ, Burmese,bur
ALREADY HAVE AN ACCOUNT?,အောက်ကလင့်ကိုယ်ရှိသောအကောင့်ဖြည့်ရန်လိုအပ်သလား။, Burmese,bur
Guides,လမ်းညွှန်များ, Burmese,bur
Favorites,အကြိုက်ဆုံးများ, Burmese,bur
Glossary,စာလုံးသုံးစွဲ, Burmese,bur
TASKS,လုပ်ငန်းများ, Burmese,bur
TASK TYPES,လုပ်ငန်းအမျိုးအစားများ, Burmese,bur
DIVISIONS,အုပ်စုခြင်းများ, Burmese,bur
USEFUL LINKS,အသုံးပြုသောလင့်ခ်ကျများ, Burmese,bur
Useful links,အသုံးပြုသောလင့်ခ်ကျများ, Burmese,bur
Tasks,လုပ်ငန်းများ, Burmese,bur
Task types,လုပ်ငန်းအမျိုးအစားများ, Burmese,bur
Divisions,အုပ်စုခြင်းများ, Burmese,bur
Log in,로그인, Korean,kor
Enter Email...,이메일 입력..., Korean,kor
Password,비밀번호, Korean,kor
Enter password,비밀번호 입력, Korean,kor
LOGIN,로그인, Korean,kor
FORGOT PASSWORD?,비밀번호를 잊으셨나요?, Korean,kor
SIGNUP,가입, Korean,kor
Full Name,전체 이름, Korean,kor
Enter full name,전체 이름 입력, Korean,kor
ALREADY HAVE AN ACCOUNT?,이미 계정이 있습니까?, Korean,kor
Guides,가이드, Korean,kor
Favorites,즐겨찾기, Korean,kor
Glossary,용어집, Korean,kor
TASKS,작업, Korean,kor
TASK TYPES,작업 유형, Korean,kor
DIVISIONS,부서, Korean,kor
USEFUL LINKS,유용한 링크, Korean,kor
Useful links,유용한 링크, Korean,kor
Tasks,작업, Korean,kor
Task types,작업 유형, Korean,kor
Divisions,부서, Korean,kor
Log in,登录, Chinese,chi
Enter Email...,输入电子邮件..., Chinese,chi
Password,密码, Chinese,chi
Enter password,输入密码, Chinese,chi
LOGIN,登录, Chinese,chi
FORGOT PASSWORD?,忘记密码？, Chinese,chi
SIGNUP,注册, Chinese,chi
Full Name,全名, Chinese,chi
Enter full name,输入全名, Chinese,chi
ALREADY HAVE AN ACCOUNT?,已经有账户了吗？, Chinese,chi
Guides,指南, Chinese,chi
Favorites,收藏夹, Chinese,chi
Glossary,术语表, Chinese,chi
TASKS,任务, Chinese,chi
TASK TYPES,任务类型, Chinese,chi
DIVISIONS,部门, Chinese,chi
USEFUL LINKS,有用的链接, Chinese,chi
Useful links,有用的链接, Chinese,chi
Tasks,任务, Chinese,chi
Task types,任务类型, Chinese,chi
Divisions,部门, Chinese,chi
Log in,Masuk, Portuguese,por
Enter Email...,Digite o e-mail..., Portuguese,por
Password,Senha, Portuguese,por
Enter password,Digite a senha, Portuguese,por
LOGIN,Entrar, Portuguese,por
FORGOT PASSWORD?,Esqueceu a senha?, Portuguese,por
SIGNUP,Inscreva-se, Portuguese,por
Full Name,Nome Completo, Portuguese,por
Enter full name,Digite o nome completo, Portuguese,por
ALREADY HAVE AN ACCOUNT?,Já tem uma conta?, Portuguese,por
Guides,Guias, Portuguese,por
Favorites,Favoritos, Portuguese,por
Glossary,Glossário, Portuguese,por
TASKS,Tarefas, Portuguese,por
TASK TYPES,Tipo de Tarefa, Portuguese,por
DIVISIONS,Divisões, Portuguese,por
USEFUL LINKS,Links Úteis, Portuguese,por
Useful links,Links Úteis, Portuguese,por
Tasks,Tarefas, Portuguese,por
Task types,Tipo de Tarefa, Portuguese,por
Divisions,Divisões, Portuguese,por
Log in,Entrar, English,eng
Enter Email...,Enter Email..., English,eng
Password,Password, English,eng
Enter password,Enter password, English,eng
LOGIN,LOGIN, English,eng
FORGOT PASSWORD?,FORGOT PASSWORD?, English,eng
SIGNUP,SIGNUP, English,eng
Full Name,Full Name, English,eng
Enter full name,Enter full name, English,eng
ALREADY HAVE AN ACCOUNT?,ALREADY HAVE AN ACCOUNT?, English,eng
Guides,Guides, English,eng
Favorites,Favorites, English,eng
Glossary,Glossary, English,eng
TASKS,TASKS, English,eng
TASK TYPES,TASK TYPES, English,eng
DIVISIONS,DIVISIONS, English,eng
USEFUL LINKS,USEFUL LINKS, English,eng
Useful links,Useful links, English,eng
Tasks,Tasks, English,eng
Task types,Task types, English,eng
Divisions,Divisions, English,eng
Log in,đăng nhập, Vietnamese,vie
Enter Email...,Nhập Email..., Vietnamese,vie
Password,Mật khẩu, Vietnamese,vie
Enter password,Nhập mật khẩu, Vietnamese,vie
LOGIN,đăng nhập, Vietnamese,vie
FORGOT PASSWORD?,Quên mật khẩu?, Vietnamese,vie
SIGNUP,đăng ký, Vietnamese,vie
Full Name,Họ và tên đầy đủ, Vietnamese,vie
Enter full name,Nhập họ và tên đầy đủ, Vietnamese,vie
ALREADY HAVE AN ACCOUNT?,Đã có tài khoản?, Vietnamese,vie
Guides,Hướng dẫn, Vietnamese,vie
Favorites,Mục yêu thích, Vietnamese,vie
Glossary,Bảng chú giải, Vietnamese,vie
TASKS,Công việc, Vietnamese,vie
TASK TYPES,Loại công việc, Vietnamese,vie
DIVISIONS,Các bộ phận, Vietnamese,vie
USEFUL LINKS,Đường dẫn hữu ích, Vietnamese,vie
Useful links,Đường dẫn hữu ích, Vietnamese,vie
Tasks,Công việc, Vietnamese,vie
Task types,Loại công việc, Vietnamese,vie
Divisions,Các bộ phận, Vietnamese,vie
Log in,Mag-login, Filipino,fil
Enter Email...,Maglagay ng Email..., Filipino,fil
Password,Password, Filipino,fil
Enter password,Ilagay ang password, Filipino,fil
LOGIN,Mag-login, Filipino,fil
FORGOT PASSWORD?,Nakalimutan ang password?, Filipino,fil
SIGNUP,Mag-sign up, Filipino,fil
Full Name,Buong Pangalan, Filipino,fil
Enter full name,Ilagay ang buong pangalan, Filipino,fil
ALREADY HAVE AN ACCOUNT?,Mayroon ka na bang account?, Filipino,fil
Guides,Mga Gabay, Filipino,fil
Favorites,Mga Paborito, Filipino,fil
Glossary,Glossary, Filipino,fil
TASKS,Mga Gawain, Filipino,fil
TASK TYPES,Mga Uri ng Gawain, Filipino,fil
DIVISIONS,Mga Bahagi, Filipino,fil
USEFUL LINKS,Mga Kapaki-pakinabang na Link, Filipino,fil
Useful links,Mga Kapaki-pakinabang na Link, Filipino,fil
Tasks,Mga Gawain, Filipino,fil
Task types,Mga Uri ng Gawain, Filipino,fil
Divisions,Mga Bahagi, Filipino,fil
Log in,Log in, English,eng
Enter Email...,Enter Email..., English,eng
Password,Password, English,eng
Enter password,Enter password, English,eng
LOGIN,LOGIN, English,eng
FORGOT PASSWORD?,FORGOT PASSWORD?, English,eng
SIGNUP,SIGNUP, English,eng
Full Name,Full Name, English,eng
Enter full name,Enter full name, English,eng
ALREADY HAVE AN ACCOUNT?,ALREADY HAVE AN ACCOUNT?, English,eng
Guides,Guides, English,eng
Favorites,Favorites, English,eng
Glossary,Glossary, English,eng
TASKS,TASKS, English,eng
TASK TYPES,TASK TYPES, English,eng
DIVISIONS,DIVISIONS, English,eng
USEFUL LINKS,USEFUL LINKS, English,eng
Useful links,Useful links, English,eng
Tasks,Tasks, English,eng
Task types,Task types, English,eng
Divisions,Divisions, English,eng
